,BA_per,A_HR_per,HBP_per,HRH_per,ISO_per,SLG_per,OBP_per,XBH_diff,TB_per,TOB_per,OPS_per,IP_per,FIP_per,BB9_per,K9_per,GBF_per,ERA_per,DICE_per,HR9_per,WHIP_per,KBB_per,home_team_wins
3057,-1.499,-42.692,5.892,30.955,24.616,9.881,1.837,17.791,9.297,2.402,6.55,7.924,-145.531,-51.579,6.086,0.086,-49.855,-25.231,-43.525,-48.985,63.089,1
3058,1.013,53.457,-3.216,-117.056,-36.067,-10.314,-1.208,-8.37,-9.523,-0.979,-6.139,6.702,-64.302,16.908,6.888,-0.344,7.835,-6.518,-43.54,6.121,41.107,1
3059,7.679,-37.604,5.566,21.281,14.803,10.653,1.856,10.645,12.814,2.632,6.985,-1.12,0.474,-14.758,0.341,0.256,-34.958,-2.275,7.338,-7.728,39.408,0
3060,11.884,-76.153,-54.157,35.572,32.621,19.784,10.18,26.871,19.847,11.399,15.612,6.486,-78.268,-13.81,15.032,0.04,15.908,-18.466,-10.208,-13.197,49.735,0
3061,4.293,-11.766,33.343,6.512,-3.29,1.46,1.794,-10.976,2.496,2.134,1.606,-5.534,58.141,25.979,-8.44,-0.101,-0.685,11.407,14.218,22.529,29.028,1
3062,3.47,1.761,18.76,-5.453,-5.922,0.14,0.61,-2.642,3.932,2.701,0.349,2.331,-23.158,-16.199,0.626,0.07,38.929,-6.913,-0.904,-11.712,42.766,0
3063,0.249,26.796,-24.128,-36.945,-12.712,-4.834,0.068,1.835,-1.375,3.051,-2.747,-1.685,56.979,38.506,-23.204,-0.227,-2.982,21.773,13.183,32.369,33.696,1
3064,-5.933,17.731,19.365,-14.742,-16.437,-9.731,-9.911,-10.662,-7.508,-10.59,-9.809,-3.133,58.249,25.66,-27.999,0.127,-14.691,30.875,18.136,24.005,37.305,0
3065,10.835,6.518,-3.694,-19.977,-2.068,6.112,4.142,-1.22,3.655,-0.391,5.261,1.986,-0.895,-17.13,-13.645,-0.143,-42.398,8.671,0.566,-12.709,43.256,1
3066,-6.939,54.952,-9.99,-107.578,-48.915,-19.677,-10.208,-29.864,-24.967,-17.661,-15.324,4.265,-79.634,15.706,11.238,-0.756,15.036,-9.008,-35.108,6.476,44.346,1
3067,6.406,36.327,-38.7,-67.807,-28.91,-5.578,6.329,-15.323,-4.668,7.411,-0.113,-2.348,2.303,-6.113,-18.796,0.285,-8.927,-4.328,-12.295,-7.632,43.284,0
3068,-1.955,8.902,31.439,-7.667,-5.461,-3.092,1.186,-4.608,-4.682,1.196,-1.131,-12.231,76.434,26.647,-8.594,-0.646,10.067,29.17,37.669,29.187,34.015,1
3069,5.919,21.049,-31.99,-34.633,-27.589,-6.133,1.939,-25.287,-5.353,1.448,-2.629,-9.153,56.535,17.446,-13.302,0.022,31.035,20.068,27.657,19.845,37.316,1
3070,-5.283,6.44,-15.779,-1.519,-18.615,-9.341,-7.358,-19.643,-10.04,-10.892,-8.449,-4.028,39.396,42.268,2.992,0.228,54.269,13.037,6.042,33.621,34.495,0
3071,-6.618,-18.893,36.852,21.113,14.233,2.03,-2.4,4.577,-6.07,-10.055,0.131,-3.234,-13.503,-5.594,-8.985,0.197,-50.759,-6.446,-7.95,-7.715,41.805,0
3072,10.702,-10.903,3.714,-0.98,5.991,9.064,6.072,-1.333,7.564,4.156,7.741,4.039,-48.83,-54.054,6.017,0.239,36.007,0.559,12.74,-34.416,55.978,0
3073,-8.625,36.73,16.226,-45.498,-39.759,-18.92,-12.559,-33.871,-21.704,-18.606,-16.111,5.903,-47.746,-14.907,3.814,0.059,-29.31,-0.774,-23.611,-17.078,60.762,0
3074,-4.542,-44.418,0.01,33.766,15.044,3.237,0.459,3.759,3.045,1.386,2.011,1.144,29.099,11.904,-0.029,-0.398,-2.609,-8.154,8.048,10.894,34.505,1
3075,-15.559,15.948,71.439,-2.95,-32.597,-21.997,-8.211,-77.273,-48.674,-30.759,-15.835,-20.42,34.046,22.154,-12.803,0.242,5.644,4.536,6.508,16.964,41.667,1
3076,7.933,23.466,-99.99,-41.923,0.23,5.515,3.893,9.091,7.975,6.432,4.767,4.829,-172.472,-19.484,25.939,-0.202,-100.965,-48.844,-44.087,-22.843,67.442,1
3077,-9.796,24.078,0.01,-19.959,-33.36,-18.056,-6.053,-39.474,-22.212,-8.781,-12.412,3.381,99.49,10.885,-37.321,-0.455,38.716,42.974,51.705,17.923,44.928,0
3078,16.911,-10.677,-49.99,-8.75,20.512,18.298,8.777,32.812,27.67,18.229,14.162,20.802,-146.826,-36.152,-51.5,0.039,-48.495,-32.663,-150.396,-52.302,41.667,1
3079,-12.2,2.674,12.51,8.429,10.037,-3.388,-10.277,14.0,-6.902,-14.963,-6.396,1.03,18792.601,5.418,18.284,0.015,-35.737,-60.39,-112.165,-15.211,40.0,0
3080,-20.857,-20.804,16.677,31.512,12.858,-6.061,-15.957,0.0,-21.709,-34.936,-10.285,-23.447,80.674,23.263,-17.733,0.067,16.735,36.499,61.016,32.329,43.2,0
3081,4.12,28.011,-174.99,-44.882,-23.875,-5.657,-0.766,-14.634,-1.405,1.556,-3.45,-4.434,-27.474,-9.183,12.959,0.198,-120.601,-5.794,-7.713,-7.389,65.0,0
